=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
15,PITCH,Baseline,1378,12,12,100
15,PITCH,Filtering,2046,12,12,100
15,PITCH,Correlation,1348,12,12,100

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
15,PITCH,Filtering,Filtering_1,2046,12,12,100
15,PITCH,Correlation,Correlation_1,1459,6,6,100
15,PITCH,Correlation,Correlation_2,1236,6,6,100
15,PITCH,Baseline,Baseline_1,1288,6,6,100
15,PITCH,Baseline,Baseline_2,1469,6,6,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
15,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,6219
15,PITCH,Filtering,Filtering_1,2,Indole,745,incongruent,V,correct,1726
15,PITCH,Filtering,Filtering_1,3,PEA,745,congruent,V,correct,6550
15,PITCH,Filtering,Filtering_1,4,PEA,482,incongruent,B,correct,1049
15,PITCH,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,1211
15,PITCH,Filtering,Filtering_1,6,PEA,745,congruent,V,correct,1460
15,PITCH,Filtering,Filtering_1,7,PEA,482,incongruent,B,correct,1211
15,PITCH,Filtering,Filtering_1,8,Indole,482,congruent,B,correct,867
15,PITCH,Filtering,Filtering_1,9,PEA,482,incongruent,B,correct,1331
15,PITCH,Filtering,Filtering_1,10,Indole,745,incongruent,V,correct,954
15,PITCH,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,892
15,PITCH,Filtering,Filtering_1,12,PEA,745,congruent,V,correct,1076
15,PITCH,Correlation,Correlation_1,1,PEA,482,incongruent,B,correct,3075
15,PITCH,Correlation,Correlation_1,2,Indole,745,incongruent,V,correct,1020
15,PITCH,Correlation,Correlation_1,3,PEA,482,incongruent,B,correct,1698
15,PITCH,Correlation,Correlation_1,4,Indole,745,incongruent,V,correct,1258
15,PITCH,Correlation,Correlation_1,5,Indole,745,incongruent,V,correct,947
15,PITCH,Correlation,Correlation_1,6,PEA,482,incongruent,B,correct,758
15,PITCH,Correlation,Correlation_2,1,Indole,482,congruent,B,correct,2420
15,PITCH,Correlation,Correlation_2,2,PEA,745,congruent,V,correct,955
15,PITCH,Correlation,Correlation_2,3,PEA,745,congruent,V,correct,1013
15,PITCH,Correlation,Correlation_2,4,Indole,482,congruent,B,correct,1015
15,PITCH,Correlation,Correlation_2,5,Indole,482,congruent,B,correct,974
15,PITCH,Correlation,Correlation_2,6,PEA,745,congruent,V,correct,1041
15,PITCH,Baseline,Baseline_1,1,PEA,482,incongruent,B,correct,2028
15,PITCH,Baseline,Baseline_1,2,PEA,745,congruent,V,correct,1281
15,PITCH,Baseline,Baseline_1,3,PEA,482,incongruent,B,correct,1251
15,PITCH,Baseline,Baseline_1,4,PEA,745,congruent,V,correct,1085
15,PITCH,Baseline,Baseline_1,5,PEA,482,incongruent,B,correct,1062
15,PITCH,Baseline,Baseline_1,6,PEA,745,congruent,V,correct,1018
15,PITCH,Baseline,Baseline_2,1,Indole,745,incongruent,V,correct,3452
15,PITCH,Baseline,Baseline_2,2,Indole,482,congruent,B,correct,871
15,PITCH,Baseline,Baseline_2,3,Indole,745,incongruent,V,correct,1339
15,PITCH,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,995
15,PITCH,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,951
15,PITCH,Baseline,Baseline_2,6,Indole,745,incongruent,V,correct,1206
