=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
21,PITCH,Baseline,944,12,12,100
21,PITCH,Filtering,838,11,12,92
21,PITCH,Correlation,1123,12,12,100

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
21,PITCH,Correlation,Correlation_1,1365,6,6,100
21,PITCH,Correlation,Correlation_2,882,6,6,100
21,PITCH,Baseline,Baseline_1,932,6,6,100
21,PITCH,Baseline,Baseline_2,957,6,6,100
21,PITCH,Filtering,Filtering_1,838,11,12,92

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
21,PITCH,Correlation,Correlation_1,1,Indole,745,incongruent,V,correct,2345
21,PITCH,Correlation,Correlation_1,2,PEA,482,incongruent,B,correct,1536
21,PITCH,Correlation,Correlation_1,3,Indole,745,incongruent,V,correct,999
21,PITCH,Correlation,Correlation_1,4,PEA,482,incongruent,B,correct,1491
21,PITCH,Correlation,Correlation_1,5,PEA,482,incongruent,B,correct,996
21,PITCH,Correlation,Correlation_1,6,Indole,745,incongruent,V,correct,823
21,PITCH,Correlation,Correlation_2,1,PEA,745,congruent,V,correct,2009
21,PITCH,Correlation,Correlation_2,2,Indole,482,congruent,B,correct,802
21,PITCH,Correlation,Correlation_2,3,PEA,745,congruent,V,correct,656
21,PITCH,Correlation,Correlation_2,4,Indole,482,congruent,B,correct,601
21,PITCH,Correlation,Correlation_2,5,PEA,745,congruent,V,correct,695
21,PITCH,Correlation,Correlation_2,6,Indole,482,congruent,B,correct,527
21,PITCH,Baseline,Baseline_1,1,Indole,482,congruent,B,correct,2125
21,PITCH,Baseline,Baseline_1,2,Indole,745,incongruent,V,correct,681
21,PITCH,Baseline,Baseline_1,3,Indole,482,congruent,B,correct,932
21,PITCH,Baseline,Baseline_1,4,Indole,745,incongruent,V,correct,650
21,PITCH,Baseline,Baseline_1,5,Indole,482,congruent,B,correct,518
21,PITCH,Baseline,Baseline_1,6,Indole,745,incongruent,V,correct,683
21,PITCH,Baseline,Baseline_2,1,PEA,482,incongruent,B,correct,2220
21,PITCH,Baseline,Baseline_2,2,PEA,745,congruent,V,correct,754
21,PITCH,Baseline,Baseline_2,3,PEA,745,congruent,V,correct,627
21,PITCH,Baseline,Baseline_2,4,PEA,482,incongruent,B,correct,649
21,PITCH,Baseline,Baseline_2,5,PEA,482,incongruent,B,correct,870
21,PITCH,Baseline,Baseline_2,6,PEA,745,congruent,V,correct,619
21,PITCH,Filtering,Filtering_1,1,PEA,482,incongruent,B,correct,1799
21,PITCH,Filtering,Filtering_1,2,Indole,482,congruent,V,incorrect,830
21,PITCH,Filtering,Filtering_1,3,Indole,745,incongruent,V,correct,845
21,PITCH,Filtering,Filtering_1,4,PEA,745,congruent,V,correct,1057
21,PITCH,Filtering,Filtering_1,5,Indole,482,congruent,B,correct,785
21,PITCH,Filtering,Filtering_1,6,PEA,745,congruent,V,correct,898
21,PITCH,Filtering,Filtering_1,7,Indole,745,incongruent,V,correct,697
21,PITCH,Filtering,Filtering_1,8,PEA,482,incongruent,B,correct,779
21,PITCH,Filtering,Filtering_1,9,PEA,482,incongruent,B,correct,639
21,PITCH,Filtering,Filtering_1,10,PEA,745,congruent,V,correct,566
21,PITCH,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,570
21,PITCH,Filtering,Filtering_1,12,Indole,745,incongruent,V,correct,583
