=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
24,22,female,ODOR,Baseline,2049,2233,1846,21,24,88
24,22,female,ODOR,Filtering,2639,2134,3246,11,12,92
24,22,female,ODOR,Correlation,2233,1942,2499,23,24,96

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
24,22,female,ODOR,Baseline,Baseline_1,2054,2313,1795,24362,10,12,83
24,22,female,ODOR,Baseline,Baseline_2,2044,2167,1896,23771,11,12,92
24,22,female,ODOR,Correlation,Correlation_1,1942,1942,,23374,11,12,92
24,22,female,ODOR,Correlation,Correlation_2,2499,,2499,29990,12,12,100
24,22,female,ODOR,Filtering,Filtering_1,2639,2134,3246,32101,11,12,92

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
24,22,female,ODOR,Baseline,Baseline_1,1,PEA,482,incongruent,V,correct,1430
24,22,female,ODOR,Baseline,Baseline_1,2,Indole,482,congruent,B,correct,2173
24,22,female,ODOR,Baseline,Baseline_1,3,PEA,482,incongruent,V,correct,2103
24,22,female,ODOR,Baseline,Baseline_1,4,Indole,482,congruent,B,correct,2204
24,22,female,ODOR,Baseline,Baseline_1,5,PEA,482,incongruent,B,incorrect,1837
24,22,female,ODOR,Baseline,Baseline_1,6,Indole,482,congruent,B,correct,3009
24,22,female,ODOR,Baseline,Baseline_1,7,Indole,482,congruent,V,incorrect,1985
24,22,female,ODOR,Baseline,Baseline_1,8,PEA,482,incongruent,V,correct,1641
24,22,female,ODOR,Baseline,Baseline_1,9,PEA,482,incongruent,V,correct,2231
24,22,female,ODOR,Baseline,Baseline_1,10,Indole,482,congruent,B,correct,2588
24,22,female,ODOR,Baseline,Baseline_1,11,PEA,482,incongruent,V,correct,1572
24,22,female,ODOR,Baseline,Baseline_1,12,Indole,482,congruent,B,correct,1589
24,22,female,ODOR,Baseline,Baseline_2,1,Indole,745,incongruent,B,correct,2165
24,22,female,ODOR,Baseline,Baseline_2,2,PEA,745,congruent,V,correct,2383
24,22,female,ODOR,Baseline,Baseline_2,3,Indole,745,incongruent,B,correct,1245
24,22,female,ODOR,Baseline,Baseline_2,4,PEA,745,congruent,V,correct,1750
24,22,female,ODOR,Baseline,Baseline_2,5,Indole,745,incongruent,B,correct,1816
24,22,female,ODOR,Baseline,Baseline_2,6,PEA,745,congruent,V,correct,1785
24,22,female,ODOR,Baseline,Baseline_2,7,Indole,745,incongruent,V,incorrect,1292
24,22,female,ODOR,Baseline,Baseline_2,8,PEA,745,congruent,V,correct,2888
24,22,female,ODOR,Baseline,Baseline_2,9,PEA,745,congruent,V,correct,1770
24,22,female,ODOR,Baseline,Baseline_2,10,Indole,745,incongruent,B,correct,2688
24,22,female,ODOR,Baseline,Baseline_2,11,Indole,745,incongruent,B,correct,1565
24,22,female,ODOR,Baseline,Baseline_2,12,PEA,745,congruent,V,correct,2424
24,22,female,ODOR,Correlation,Correlation_1,1,PEA,745,congruent,V,correct,1871
24,22,female,ODOR,Correlation,Correlation_1,2,Indole,482,congruent,B,correct,2710
24,22,female,ODOR,Correlation,Correlation_1,3,Indole,482,congruent,B,correct,1735
24,22,female,ODOR,Correlation,Correlation_1,4,PEA,745,congruent,V,correct,2617
24,22,female,ODOR,Correlation,Correlation_1,5,PEA,745,congruent,V,correct,2060
24,22,female,ODOR,Correlation,Correlation_1,6,Indole,482,congruent,B,correct,1692
24,22,female,ODOR,Correlation,Correlation_1,7,Indole,482,congruent,V,incorrect,2009
24,22,female,ODOR,Correlation,Correlation_1,8,PEA,745,congruent,V,correct,2221
24,22,female,ODOR,Correlation,Correlation_1,9,PEA,745,congruent,V,correct,1755
24,22,female,ODOR,Correlation,Correlation_1,10,Indole,482,congruent,B,correct,1554
24,22,female,ODOR,Correlation,Correlation_1,11,Indole,482,congruent,B,correct,1490
24,22,female,ODOR,Correlation,Correlation_1,12,PEA,745,congruent,V,correct,1660
24,22,female,ODOR,Correlation,Correlation_2,1,PEA,482,incongruent,V,correct,2663
24,22,female,ODOR,Correlation,Correlation_2,2,Indole,745,incongruent,B,correct,2351
24,22,female,ODOR,Correlation,Correlation_2,3,Indole,745,incongruent,B,correct,2397
24,22,female,ODOR,Correlation,Correlation_2,4,PEA,482,incongruent,V,correct,2952
24,22,female,ODOR,Correlation,Correlation_2,5,PEA,482,incongruent,V,correct,2691
24,22,female,ODOR,Correlation,Correlation_2,6,Indole,745,incongruent,B,correct,1473
24,22,female,ODOR,Correlation,Correlation_2,7,Indole,745,incongruent,B,correct,2978
24,22,female,ODOR,Correlation,Correlation_2,8,PEA,482,incongruent,V,correct,3051
24,22,female,ODOR,Correlation,Correlation_2,9,PEA,482,incongruent,V,correct,3169
