=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
25,24,male,ODOR,Baseline,2625,2663,2582,21,24,88
25,24,male,ODOR,Filtering,3405,3303,3508,10,12,83
25,24,male,ODOR,Correlation,3055,2604,3462,19,24,79

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
25,24,male,ODOR,Baseline,Baseline_1,2695,2530,2893,32145,11,12,92
25,24,male,ODOR,Baseline,Baseline_2,2548,2824,2272,32009,10,12,83
25,24,male,ODOR,Correlation,Correlation_1,3462,,3462,39733,10,12,83
25,24,male,ODOR,Correlation,Correlation_2,2604,2604,,29458,9,12,75
25,24,male,ODOR,Filtering,Filtering_1,3405,3303,3508,39759,10,12,83

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
25,24,male,ODOR,Baseline,Baseline_1,1,Indole,745,incongruent,B,correct,2723
25,24,male,ODOR,Baseline,Baseline_1,2,PEA,745,congruent,V,correct,2320
25,24,male,ODOR,Baseline,Baseline_1,3,PEA,745,congruent,V,correct,2047
25,24,male,ODOR,Baseline,Baseline_1,4,Indole,745,incongruent,V,incorrect,2503
25,24,male,ODOR,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,2875
25,24,male,ODOR,Baseline,Baseline_1,6,Indole,745,incongruent,B,correct,2860
25,24,male,ODOR,Baseline,Baseline_1,7,Indole,745,incongruent,B,correct,3873
25,24,male,ODOR,Baseline,Baseline_1,8,PEA,745,congruent,V,correct,2733
25,24,male,ODOR,Baseline,Baseline_1,9,PEA,745,congruent,V,correct,3463
25,24,male,ODOR,Baseline,Baseline_1,10,Indole,745,incongruent,B,correct,2660
25,24,male,ODOR,Baseline,Baseline_1,11,PEA,745,congruent,V,correct,1739
25,24,male,ODOR,Baseline,Baseline_1,12,Indole,745,incongruent,B,correct,2349
25,24,male,ODOR,Baseline,Baseline_2,1,Indole,482,congruent,V,incorrect,3109
25,24,male,ODOR,Baseline,Baseline_2,2,PEA,482,incongruent,B,incorrect,3420
25,24,male,ODOR,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,2680
25,24,male,ODOR,Baseline,Baseline_2,4,PEA,482,incongruent,V,correct,2987
25,24,male,ODOR,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,3415
25,24,male,ODOR,Baseline,Baseline_2,6,PEA,482,incongruent,V,correct,1278
25,24,male,ODOR,Baseline,Baseline_2,7,PEA,482,incongruent,V,correct,1990
25,24,male,ODOR,Baseline,Baseline_2,8,Indole,482,congruent,B,correct,3169
25,24,male,ODOR,Baseline,Baseline_2,9,PEA,482,incongruent,V,correct,2071
25,24,male,ODOR,Baseline,Baseline_2,10,Indole,482,congruent,B,correct,2196
25,24,male,ODOR,Baseline,Baseline_2,11,Indole,482,congruent,B,correct,2661
25,24,male,ODOR,Baseline,Baseline_2,12,PEA,482,incongruent,V,correct,3033
25,24,male,ODOR,Correlation,Correlation_1,1,Indole,745,incongruent,B,correct,4047
25,24,male,ODOR,Correlation,Correlation_1,2,PEA,482,incongruent,V,correct,3551
25,24,male,ODOR,Correlation,Correlation_1,3,Indole,745,incongruent,B,correct,3001
25,24,male,ODOR,Correlation,Correlation_1,4,PEA,482,incongruent,V,correct,1813
