=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
26-004,26,female,ODOR,Baseline,1936,1815,2037,22,24,92
26-004,26,female,ODOR,Filtering,2551,2114,2901,9,12,75
26-004,26,female,ODOR,Correlation,2032,1762,2234,21,24,88

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
26-004,26,female,ODOR,Baseline,Baseline_1,2056,1995,2097,24569,10,12,83
26-004,26,female,ODOR,Baseline,Baseline_2,1836,1694,1977,22031,12,12,100
26-004,26,female,ODOR,Filtering,Filtering_1,2551,2114,2901,29452,9,12,75
26-004,26,female,ODOR,Correlation,Correlation_1,1762,1762,,20555,9,12,75
26-004,26,female,ODOR,Correlation,Correlation_2,2234,,2234,26803,12,12,100

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
26-004,26,female,ODOR,Baseline,Baseline_1,1,PEA,745,congruent,B,incorrect,1928
26-004,26,female,ODOR,Baseline,Baseline_1,2,PEA,482,incongruent,B,correct,2299
26-004,26,female,ODOR,Baseline,Baseline_1,3,PEA,745,congruent,V,correct,2299
26-004,26,female,ODOR,Baseline,Baseline_1,4,PEA,482,incongruent,B,correct,2541
26-004,26,female,ODOR,Baseline,Baseline_1,5,PEA,482,incongruent,B,correct,2067
26-004,26,female,ODOR,Baseline,Baseline_1,6,PEA,482,incongruent,B,correct,2038
26-004,26,female,ODOR,Baseline,Baseline_1,7,PEA,745,congruent,B,incorrect,2077
26-004,26,female,ODOR,Baseline,Baseline_1,8,PEA,482,incongruent,B,correct,1684
26-004,26,female,ODOR,Baseline,Baseline_1,9,PEA,745,congruent,V,correct,2244
26-004,26,female,ODOR,Baseline,Baseline_1,10,PEA,745,congruent,V,correct,1343
26-004,26,female,ODOR,Baseline,Baseline_1,11,PEA,482,incongruent,B,correct,1955
26-004,26,female,ODOR,Baseline,Baseline_1,12,PEA,745,congruent,V,correct,2094
26-004,26,female,ODOR,Baseline,Baseline_2,1,Indole,482,congruent,B,correct,1287
26-004,26,female,ODOR,Baseline,Baseline_2,2,Indole,745,incongruent,V,correct,2317
26-004,26,female,ODOR,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,1843
26-004,26,female,ODOR,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,1511
26-004,26,female,ODOR,Baseline,Baseline_2,5,Indole,745,incongruent,V,correct,1984
26-004,26,female,ODOR,Baseline,Baseline_2,6,Indole,482,congruent,B,correct,1903
26-004,26,female,ODOR,Baseline,Baseline_2,7,Indole,745,incongruent,V,correct,1551
26-004,26,female,ODOR,Baseline,Baseline_2,8,Indole,482,congruent,B,correct,2135
26-004,26,female,ODOR,Baseline,Baseline_2,9,Indole,745,incongruent,V,correct,1711
26-004,26,female,ODOR,Baseline,Baseline_2,10,Indole,482,congruent,B,correct,1488
26-004,26,female,ODOR,Baseline,Baseline_2,11,Indole,745,incongruent,V,correct,2410
