=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
29,PITCH,Baseline,1007,12,12,100
29,PITCH,Filtering,1126,12,12,100
29,PITCH,Correlation,1608,12,12,100

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
29,PITCH,Correlation,Correlation_1,1873,6,6,100
29,PITCH,Correlation,Correlation_2,1343,6,6,100
29,PITCH,Filtering,Filtering_1,1126,12,12,100
29,PITCH,Baseline,Baseline_1,1015,6,6,100
29,PITCH,Baseline,Baseline_2,998,6,6,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
29,PITCH,Correlation,Correlation_1,1,Indole,745,incongruent,V,correct,3361
29,PITCH,Correlation,Correlation_1,2,PEA,482,incongruent,B,correct,1438
29,PITCH,Correlation,Correlation_1,3,Indole,745,incongruent,V,correct,2159
29,PITCH,Correlation,Correlation_1,4,PEA,482,incongruent,B,correct,1953
29,PITCH,Correlation,Correlation_1,5,PEA,482,incongruent,B,correct,1171
29,PITCH,Correlation,Correlation_1,6,Indole,745,incongruent,V,correct,1158
29,PITCH,Correlation,Correlation_2,1,Indole,482,congruent,B,correct,2589
29,PITCH,Correlation,Correlation_2,2,PEA,745,congruent,V,correct,1368
29,PITCH,Correlation,Correlation_2,3,Indole,482,congruent,B,correct,1178
29,PITCH,Correlation,Correlation_2,4,PEA,745,congruent,V,correct,1119
29,PITCH,Correlation,Correlation_2,5,Indole,482,congruent,B,correct,955
29,PITCH,Correlation,Correlation_2,6,PEA,745,congruent,V,correct,846
29,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,2513
29,PITCH,Filtering,Filtering_1,2,PEA,745,congruent,V,correct,1618
29,PITCH,Filtering,Filtering_1,3,Indole,745,incongruent,V,correct,1041
29,PITCH,Filtering,Filtering_1,4,PEA,482,incongruent,B,correct,910
29,PITCH,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,876
29,PITCH,Filtering,Filtering_1,6,PEA,482,incongruent,B,correct,1122
29,PITCH,Filtering,Filtering_1,7,Indole,482,congruent,B,correct,1071
29,PITCH,Filtering,Filtering_1,8,PEA,745,congruent,V,correct,1037
29,PITCH,Filtering,Filtering_1,9,Indole,482,congruent,B,correct,1052
29,PITCH,Filtering,Filtering_1,10,PEA,482,incongruent,B,correct,705
29,PITCH,Filtering,Filtering_1,11,Indole,745,incongruent,V,correct,1017
29,PITCH,Filtering,Filtering_1,12,PEA,745,congruent,V,correct,546
29,PITCH,Baseline,Baseline_1,1,PEA,482,incongruent,B,correct,1998
29,PITCH,Baseline,Baseline_1,2,PEA,745,congruent,V,correct,1141
29,PITCH,Baseline,Baseline_1,3,PEA,745,congruent,V,correct,622
29,PITCH,Baseline,Baseline_1,4,PEA,482,incongruent,B,correct,858
29,PITCH,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,698
29,PITCH,Baseline,Baseline_1,6,PEA,482,incongruent,B,correct,775
29,PITCH,Baseline,Baseline_2,1,Indole,745,incongruent,V,correct,2003
29,PITCH,Baseline,Baseline_2,2,Indole,482,congruent,B,correct,871
29,PITCH,Baseline,Baseline_2,3,Indole,745,incongruent,V,correct,833
29,PITCH,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,875
29,PITCH,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,741
29,PITCH,Baseline,Baseline_2,6,Indole,745,incongruent,V,correct,666
