=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
31,PITCH,Baseline,920,11,12,92
31,PITCH,Filtering,860,12,12,100
31,PITCH,Correlation,1042,12,12,100

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
31,PITCH,Baseline,Baseline_1,806,5,6,83
31,PITCH,Baseline,Baseline_2,1016,6,6,100
31,PITCH,Correlation,Correlation_1,1000,6,6,100
31,PITCH,Correlation,Correlation_2,1085,6,6,100
31,PITCH,Filtering,Filtering_1,860,12,12,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
31,PITCH,Baseline,Baseline_1,1,Indole,745,incongruent,B,incorrect,2678
31,PITCH,Baseline,Baseline_1,2,Indole,482,congruent,B,correct,742
31,PITCH,Baseline,Baseline_1,3,Indole,482,congruent,B,correct,697
31,PITCH,Baseline,Baseline_1,4,Indole,745,incongruent,V,correct,664
31,PITCH,Baseline,Baseline_1,5,Indole,745,incongruent,V,correct,1273
31,PITCH,Baseline,Baseline_1,6,Indole,482,congruent,B,correct,652
31,PITCH,Baseline,Baseline_2,1,PEA,482,incongruent,B,correct,1683
31,PITCH,Baseline,Baseline_2,2,PEA,745,congruent,V,correct,747
31,PITCH,Baseline,Baseline_2,3,PEA,745,congruent,V,correct,953
31,PITCH,Baseline,Baseline_2,4,PEA,482,incongruent,B,correct,837
31,PITCH,Baseline,Baseline_2,5,PEA,482,incongruent,B,correct,1034
31,PITCH,Baseline,Baseline_2,6,PEA,745,congruent,V,correct,843
31,PITCH,Correlation,Correlation_1,1,Indole,482,congruent,B,correct,1897
31,PITCH,Correlation,Correlation_1,2,PEA,745,congruent,V,correct,866
31,PITCH,Correlation,Correlation_1,3,PEA,745,congruent,V,correct,1109
31,PITCH,Correlation,Correlation_1,4,Indole,482,congruent,B,correct,843
31,PITCH,Correlation,Correlation_1,5,PEA,745,congruent,V,correct,734
31,PITCH,Correlation,Correlation_1,6,Indole,482,congruent,B,correct,550
31,PITCH,Correlation,Correlation_2,1,PEA,482,incongruent,B,correct,1737
31,PITCH,Correlation,Correlation_2,2,Indole,745,incongruent,V,correct,608
31,PITCH,Correlation,Correlation_2,3,PEA,482,incongruent,B,correct,990
31,PITCH,Correlation,Correlation_2,4,Indole,745,incongruent,V,correct,889
31,PITCH,Correlation,Correlation_2,5,PEA,482,incongruent,B,correct,1186
31,PITCH,Correlation,Correlation_2,6,Indole,745,incongruent,V,correct,1100
31,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,1698
31,PITCH,Filtering,Filtering_1,2,Indole,745,incongruent,V,correct,764
31,PITCH,Filtering,Filtering_1,3,PEA,745,congruent,V,correct,641
31,PITCH,Filtering,Filtering_1,4,PEA,482,incongruent,B,correct,935
31,PITCH,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,782
31,PITCH,Filtering,Filtering_1,6,PEA,482,incongruent,B,correct,862
31,PITCH,Filtering,Filtering_1,7,Indole,482,congruent,B,correct,749
31,PITCH,Filtering,Filtering_1,8,PEA,745,congruent,V,correct,587
31,PITCH,Filtering,Filtering_1,9,Indole,745,incongruent,V,correct,770
31,PITCH,Filtering,Filtering_1,10,PEA,482,incongruent,B,correct,952
31,PITCH,Filtering,Filtering_1,11,PEA,745,congruent,V,correct,715
31,PITCH,Filtering,Filtering_1,12,Indole,482,congruent,B,correct,865
