=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
37,PITCH,Baseline,691,12,12,100
37,PITCH,Filtering,742,12,12,100
37,PITCH,Correlation,764,12,12,100

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
37,PITCH,Filtering,Filtering_1,742,12,12,100
37,PITCH,Baseline,Baseline_1,717,6,6,100
37,PITCH,Baseline,Baseline_2,664,6,6,100
37,PITCH,Correlation,Correlation_1,760,6,6,100
37,PITCH,Correlation,Correlation_2,767,6,6,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
37,PITCH,Filtering,Filtering_1,1,Indole,745,incongruent,V,correct,2156
37,PITCH,Filtering,Filtering_1,2,Indole,482,congruent,B,correct,813
37,PITCH,Filtering,Filtering_1,3,PEA,482,incongruent,B,correct,674
37,PITCH,Filtering,Filtering_1,4,PEA,745,congruent,V,correct,505
37,PITCH,Filtering,Filtering_1,5,PEA,745,congruent,V,correct,928
37,PITCH,Filtering,Filtering_1,6,PEA,482,incongruent,B,correct,504
37,PITCH,Filtering,Filtering_1,7,Indole,482,congruent,B,correct,706
37,PITCH,Filtering,Filtering_1,8,Indole,745,incongruent,V,correct,368
37,PITCH,Filtering,Filtering_1,9,Indole,745,incongruent,V,correct,828
37,PITCH,Filtering,Filtering_1,10,Indole,482,congruent,B,correct,306
37,PITCH,Filtering,Filtering_1,11,PEA,745,congruent,V,correct,475
37,PITCH,Filtering,Filtering_1,12,PEA,482,incongruent,B,correct,644
37,PITCH,Baseline,Baseline_1,1,PEA,482,incongruent,B,correct,1791
37,PITCH,Baseline,Baseline_1,2,PEA,745,congruent,V,correct,537
37,PITCH,Baseline,Baseline_1,3,PEA,482,incongruent,B,correct,454
37,PITCH,Baseline,Baseline_1,4,PEA,745,congruent,V,correct,591
37,PITCH,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,534
37,PITCH,Baseline,Baseline_1,6,PEA,482,incongruent,B,correct,397
37,PITCH,Baseline,Baseline_2,1,Indole,745,incongruent,V,correct,1338
37,PITCH,Baseline,Baseline_2,2,Indole,482,congruent,B,correct,635
37,PITCH,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,498
37,PITCH,Baseline,Baseline_2,4,Indole,745,incongruent,V,correct,466
37,PITCH,Baseline,Baseline_2,5,Indole,745,incongruent,V,correct,452
37,PITCH,Baseline,Baseline_2,6,Indole,482,congruent,B,correct,594
37,PITCH,Correlation,Correlation_1,1,Indole,482,congruent,B,correct,1379
37,PITCH,Correlation,Correlation_1,2,PEA,745,congruent,V,correct,595
37,PITCH,Correlation,Correlation_1,3,PEA,745,congruent,V,correct,783
37,PITCH,Correlation,Correlation_1,4,Indole,482,congruent,B,correct,667
37,PITCH,Correlation,Correlation_1,5,PEA,745,congruent,V,correct,748
37,PITCH,Correlation,Correlation_1,6,Indole,482,congruent,B,correct,387
37,PITCH,Correlation,Correlation_2,1,Indole,745,incongruent,V,correct,1495
37,PITCH,Correlation,Correlation_2,2,PEA,482,incongruent,B,correct,648
37,PITCH,Correlation,Correlation_2,3,PEA,482,incongruent,B,correct,583
37,PITCH,Correlation,Correlation_2,4,Indole,745,incongruent,V,correct,369
37,PITCH,Correlation,Correlation_2,5,Indole,745,incongruent,V,correct,898
37,PITCH,Correlation,Correlation_2,6,PEA,482,incongruent,B,correct,611
