=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
43,PITCH,Baseline,1367,6,12,50
43,PITCH,Filtering,,0,12,0
43,PITCH,Correlation,1407,12,12,100

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
43,PITCH,Filtering,Filtering_1,,0,12,0
43,PITCH,Baseline,Baseline_1,1348,3,6,50
43,PITCH,Baseline,Baseline_2,1385,3,6,50
43,PITCH,Correlation,Correlation_1,1489,6,6,100
43,PITCH,Correlation,Correlation_2,1325,6,6,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
43,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,V,incorrect,3810
43,PITCH,Filtering,Filtering_1,2,PEA,482,incongruent,V,incorrect,1088
43,PITCH,Filtering,Filtering_1,3,PEA,745,congruent,B,incorrect,1404
43,PITCH,Filtering,Filtering_1,4,Indole,745,incongruent,B,incorrect,1005
43,PITCH,Filtering,Filtering_1,5,PEA,745,congruent,B,incorrect,907
43,PITCH,Filtering,Filtering_1,6,PEA,482,incongruent,V,incorrect,2493
43,PITCH,Filtering,Filtering_1,7,Indole,482,congruent,V,incorrect,1411
43,PITCH,Filtering,Filtering_1,8,Indole,745,incongruent,B,incorrect,4006
43,PITCH,Filtering,Filtering_1,9,PEA,745,congruent,B,incorrect,755
43,PITCH,Filtering,Filtering_1,10,PEA,482,incongruent,V,incorrect,2437
43,PITCH,Filtering,Filtering_1,11,Indole,745,incongruent,B,incorrect,2031
43,PITCH,Filtering,Filtering_1,12,Indole,482,congruent,V,incorrect,903
43,PITCH,Baseline,Baseline_1,1,PEA,482,incongruent,V,incorrect,3595
43,PITCH,Baseline,Baseline_1,2,PEA,745,congruent,B,incorrect,1949
43,PITCH,Baseline,Baseline_1,3,PEA,482,incongruent,V,incorrect,940
43,PITCH,Baseline,Baseline_1,4,PEA,745,congruent,V,correct,2073
43,PITCH,Baseline,Baseline_1,5,PEA,482,incongruent,B,correct,999
43,PITCH,Baseline,Baseline_1,6,PEA,745,congruent,V,correct,973
43,PITCH,Baseline,Baseline_2,1,Indole,482,congruent,V,incorrect,3027
43,PITCH,Baseline,Baseline_2,2,Indole,745,incongruent,B,incorrect,2210
43,PITCH,Baseline,Baseline_2,3,Indole,745,incongruent,B,incorrect,1041
43,PITCH,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,2551
43,PITCH,Baseline,Baseline_2,5,Indole,745,incongruent,V,correct,858
43,PITCH,Baseline,Baseline_2,6,Indole,482,congruent,B,correct,745
43,PITCH,Correlation,Correlation_1,1,Indole,745,incongruent,V,correct,2982
43,PITCH,Correlation,Correlation_1,2,PEA,482,incongruent,B,correct,1206
43,PITCH,Correlation,Correlation_1,3,Indole,745,incongruent,V,correct,1350
43,PITCH,Correlation,Correlation_1,4,PEA,482,incongruent,B,correct,1134
43,PITCH,Correlation,Correlation_1,5,Indole,745,incongruent,V,correct,1569
43,PITCH,Correlation,Correlation_1,6,PEA,482,incongruent,B,correct,695
43,PITCH,Correlation,Correlation_2,1,PEA,745,congruent,V,correct,2985
43,PITCH,Correlation,Correlation_2,2,Indole,482,congruent,B,correct,1231
43,PITCH,Correlation,Correlation_2,3,Indole,482,congruent,B,correct,954
43,PITCH,Correlation,Correlation_2,4,PEA,745,congruent,V,correct,1146
43,PITCH,Correlation,Correlation_2,5,Indole,482,congruent,B,correct,676
43,PITCH,Correlation,Correlation_2,6,PEA,745,congruent,V,correct,956
