=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
5-33,PITCH,Baseline,678,12,12,100
5-33,PITCH,Filtering,1049,11,12,92
5-33,PITCH,Correlation,1127,10,12,83

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
5-33,PITCH,Filtering,Filtering_1,1049,11,12,92
5-33,PITCH,Correlation,Correlation_1,926,4,6,67
5-33,PITCH,Correlation,Correlation_2,1261,6,6,100
5-33,PITCH,Baseline,Baseline_1,807,6,6,100
5-33,PITCH,Baseline,Baseline_2,549,6,6,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
5-33,PITCH,Filtering,Filtering_1,1,Indole,745,incongruent,B,incorrect,927
5-33,PITCH,Filtering,Filtering_1,2,PEA,745,congruent,V,correct,665
5-33,PITCH,Filtering,Filtering_1,3,PEA,482,incongruent,B,correct,992
5-33,PITCH,Filtering,Filtering_1,4,Indole,482,congruent,B,correct,1056
5-33,PITCH,Filtering,Filtering_1,5,PEA,482,incongruent,B,correct,904
5-33,PITCH,Filtering,Filtering_1,6,PEA,745,congruent,V,correct,1173
5-33,PITCH,Filtering,Filtering_1,7,Indole,482,congruent,B,correct,1014
5-33,PITCH,Filtering,Filtering_1,8,Indole,745,incongruent,V,correct,1067
5-33,PITCH,Filtering,Filtering_1,9,Indole,745,incongruent,V,correct,1273
5-33,PITCH,Filtering,Filtering_1,10,PEA,482,incongruent,B,correct,1257
5-33,PITCH,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,1396
5-33,PITCH,Filtering,Filtering_1,12,PEA,745,congruent,V,correct,738
5-33,PITCH,Correlation,Correlation_1,1,Indole,745,incongruent,B,incorrect,795
5-33,PITCH,Correlation,Correlation_1,2,PEA,482,incongruent,V,incorrect,894
5-33,PITCH,Correlation,Correlation_1,3,PEA,482,incongruent,B,correct,1178
5-33,PITCH,Correlation,Correlation_1,4,Indole,745,incongruent,V,correct,831
5-33,PITCH,Correlation,Correlation_1,5,PEA,482,incongruent,B,correct,946
5-33,PITCH,Correlation,Correlation_1,6,Indole,745,incongruent,V,correct,749
5-33,PITCH,Correlation,Correlation_2,1,PEA,745,congruent,V,correct,944
5-33,PITCH,Correlation,Correlation_2,2,Indole,482,congruent,B,correct,1265
5-33,PITCH,Correlation,Correlation_2,3,Indole,482,congruent,B,correct,1708
5-33,PITCH,Correlation,Correlation_2,4,PEA,745,congruent,V,correct,1416
5-33,PITCH,Correlation,Correlation_2,5,Indole,482,congruent,B,correct,1406
5-33,PITCH,Correlation,Correlation_2,6,PEA,745,congruent,V,correct,825
5-33,PITCH,Baseline,Baseline_1,1,PEA,745,congruent,V,correct,821
5-33,PITCH,Baseline,Baseline_1,2,PEA,482,incongruent,B,correct,707
5-33,PITCH,Baseline,Baseline_1,3,PEA,745,congruent,V,correct,846
5-33,PITCH,Baseline,Baseline_1,4,PEA,482,incongruent,B,correct,887
5-33,PITCH,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,884
5-33,PITCH,Baseline,Baseline_1,6,PEA,482,incongruent,B,correct,698
5-33,PITCH,Baseline,Baseline_2,1,Indole,482,congruent,B,correct,667
5-33,PITCH,Baseline,Baseline_2,2,Indole,745,incongruent,V,correct,672
5-33,PITCH,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,580
5-33,PITCH,Baseline,Baseline_2,4,Indole,745,incongruent,V,correct,371
5-33,PITCH,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,533
5-33,PITCH,Baseline,Baseline_2,6,Indole,745,incongruent,V,correct,472
