=== SUMMARY BY STAGE ===
Subject,Group,Stage,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
7,PITCH,Baseline,789,11,12,92
7,PITCH,Filtering,708,12,12,100
7,PITCH,Correlation,633,10,12,83

=== SUMMARY BY BLOCK ===
Subject,Group,Stage,BlockID,Mean_RT_ms,Correct_Count,Total_Count,Accuracy_Percent
7,PITCH,Baseline,Baseline_1,639,5,6,83
7,PITCH,Baseline,Baseline_2,913,6,6,100
7,PITCH,Filtering,Filtering_1,708,12,12,100
7,PITCH,Correlation,Correlation_1,521,4,6,67
7,PITCH,Correlation,Correlation_2,708,6,6,100

=== RAW DATA ===
Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
7,PITCH,Baseline,Baseline_1,1,Indole,745,incongruent,B,incorrect,2505
7,PITCH,Baseline,Baseline_1,2,Indole,482,congruent,B,correct,1206
7,PITCH,Baseline,Baseline_1,3,Indole,745,incongruent,V,correct,419
7,PITCH,Baseline,Baseline_1,4,Indole,482,congruent,B,correct,409
7,PITCH,Baseline,Baseline_1,5,Indole,482,congruent,B,correct,716
7,PITCH,Baseline,Baseline_1,6,Indole,745,incongruent,V,correct,444
7,PITCH,Baseline,Baseline_2,1,PEA,482,incongruent,B,correct,2323
7,PITCH,Baseline,Baseline_2,2,PEA,745,congruent,V,correct,593
7,PITCH,Baseline,Baseline_2,3,PEA,482,incongruent,B,correct,769
7,PITCH,Baseline,Baseline_2,4,PEA,745,congruent,V,correct,534
7,PITCH,Baseline,Baseline_2,5,PEA,482,incongruent,B,correct,599
7,PITCH,Baseline,Baseline_2,6,PEA,745,congruent,V,correct,662
7,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,1831
7,PITCH,Filtering,Filtering_1,2,PEA,745,congruent,V,correct,684
7,PITCH,Filtering,Filtering_1,3,PEA,482,incongruent,B,correct,682
7,PITCH,Filtering,Filtering_1,4,Indole,745,incongruent,V,correct,420
7,PITCH,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,673
7,PITCH,Filtering,Filtering_1,6,Indole,482,congruent,B,correct,386
7,PITCH,Filtering,Filtering_1,7,PEA,745,congruent,V,correct,762
7,PITCH,Filtering,Filtering_1,8,PEA,482,incongruent,B,correct,548
7,PITCH,Filtering,Filtering_1,9,PEA,482,incongruent,B,correct,815
7,PITCH,Filtering,Filtering_1,10,PEA,745,congruent,V,correct,621
7,PITCH,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,593
7,PITCH,Filtering,Filtering_1,12,Indole,745,incongruent,V,correct,481
7,PITCH,Correlation,Correlation_1,1,Indole,745,incongruent,B,incorrect,2287
7,PITCH,Correlation,Correlation_1,2,PEA,482,incongruent,B,correct,584
7,PITCH,Correlation,Correlation_1,3,Indole,745,incongruent,B,incorrect,627
7,PITCH,Correlation,Correlation_1,4,PEA,482,incongruent,B,correct,466
7,PITCH,Correlation,Correlation_1,5,PEA,482,incongruent,B,correct,707
7,PITCH,Correlation,Correlation_1,6,Indole,745,incongruent,V,correct,326
7,PITCH,Correlation,Correlation_2,1,Indole,482,congruent,B,correct,1889
7,PITCH,Correlation,Correlation_2,2,PEA,745,congruent,V,correct,440
7,PITCH,Correlation,Correlation_2,3,PEA,745,congruent,V,correct,470
7,PITCH,Correlation,Correlation_2,4,Indole,482,congruent,B,correct,382
7,PITCH,Correlation,Correlation_2,5,PEA,745,congruent,V,correct,651
7,PITCH,Correlation,Correlation_2,6,Indole,482,congruent,B,correct,417
