=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
SIM-005,33,female,PITCH,Baseline,531,521,540,23,24,96
SIM-005,33,female,PITCH,Filtering,605,584,625,12,12,100
SIM-005,33,female,PITCH,Correlation,510,472,553,21,24,88

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
SIM-005,33,female,PITCH,Filtering,Filtering_1,605,584,625,12,12,100
SIM-005,33,female,PITCH,Correlation,Correlation_2,553,,553,10,12,83
SIM-005,33,female,PITCH,Correlation,Correlation_1,472,472,,11,12,92
SIM-005,33,female,PITCH,Baseline,Baseline_2,529,526,533,12,12,100
SIM-005,33,female,PITCH,Baseline,Baseline_1,533,516,546,11,12,92

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
SIM-005,33,female,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,588
SIM-005,33,female,PITCH,Filtering,Filtering_1,2,PEA,482,incongruent,B,correct,630
SIM-005,33,female,PITCH,Filtering,Filtering_1,3,PEA,745,congruent,V,correct,551
SIM-005,33,female,PITCH,Filtering,Filtering_1,4,Indole,745,incongruent,V,correct,547
SIM-005,33,female,PITCH,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,712
SIM-005,33,female,PITCH,Filtering,Filtering_1,6,Indole,482,congruent,B,correct,578
SIM-005,33,female,PITCH,Filtering,Filtering_1,7,PEA,482,incongruent,B,correct,608
SIM-005,33,female,PITCH,Filtering,Filtering_1,8,PEA,745,congruent,V,correct,622
SIM-005,33,female,PITCH,Filtering,Filtering_1,9,PEA,745,congruent,V,correct,607
SIM-005,33,female,PITCH,Filtering,Filtering_1,10,Indole,745,incongruent,V,correct,620
SIM-005,33,female,PITCH,Filtering,Filtering_1,11,PEA,482,incongruent,B,correct,633
SIM-005,33,female,PITCH,Filtering,Filtering_1,12,Indole,482,congruent,B,correct,559
SIM-005,33,female,PITCH,Correlation,Correlation_2,1,PEA,482,incongruent,V,incorrect,555
SIM-005,33,female,PITCH,Correlation,Correlation_2,2,Indole,745,incongruent,V,correct,481
SIM-005,33,female,PITCH,Correlation,Correlation_2,3,Indole,745,incongruent,V,correct,660
SIM-005,33,female,PITCH,Correlation,Correlation_2,4,PEA,482,incongruent,B,correct,636
SIM-005,33,female,PITCH,Correlation,Correlation_2,5,Indole,745,incongruent,V,correct,591
SIM-005,33,female,PITCH,Correlation,Correlation_2,6,PEA,482,incongruent,B,correct,503
SIM-005,33,female,PITCH,Correlation,Correlation_2,7,PEA,482,incongruent,B,correct,582
SIM-005,33,female,PITCH,Correlation,Correlation_2,8,Indole,745,incongruent,V,correct,535
SIM-005,33,female,PITCH,Correlation,Correlation_2,9,PEA,482,incongruent,B,correct,490
SIM-005,33,female,PITCH,Correlation,Correlation_2,10,Indole,745,incongruent,V,correct,595
SIM-005,33,female,PITCH,Correlation,Correlation_2,11,PEA,482,incongruent,V,incorrect,543
SIM-005,33,female,PITCH,Correlation,Correlation_2,12,Indole,745,incongruent,V,correct,456
SIM-005,33,female,PITCH,Correlation,Correlation_1,1,PEA,745,congruent,V,correct,547
SIM-005,33,female,PITCH,Correlation,Correlation_1,2,Indole,482,congruent,B,correct,505
SIM-005,33,female,PITCH,Correlation,Correlation_1,3,PEA,745,congruent,V,correct,486
SIM-005,33,female,PITCH,Correlation,Correlation_1,4,Indole,482,congruent,B,correct,423
SIM-005,33,female,PITCH,Correlation,Correlation_1,5,Indole,482,congruent,B,correct,462
SIM-005,33,female,PITCH,Correlation,Correlation_1,6,PEA,745,congruent,V,correct,427
SIM-005,33,female,PITCH,Correlation,Correlation_1,7,Indole,482,congruent,B,correct,409
SIM-005,33,female,PITCH,Correlation,Correlation_1,8,PEA,745,congruent,V,correct,445
SIM-005,33,female,PITCH,Correlation,Correlation_1,9,PEA,745,congruent,V,correct,513
SIM-005,33,female,PITCH,Correlation,Correlation_1,10,Indole,482,congruent,V,incorrect,536
SIM-005,33,female,PITCH,Correlation,Correlation_1,11,Indole,482,congruent,B,correct,488
SIM-005,33,female,PITCH,Correlation,Correlation_1,12,PEA,745,congruent,V,correct,483
SIM-005,33,female,PITCH,Baseline,Baseline_2,1,Indole,482,congruent,B,correct,519
SIM-005,33,female,PITCH,Baseline,Baseline_2,2,Indole,745,incongruent,V,correct,526
SIM-005,33,female,PITCH,Baseline,Baseline_2,3,Indole,745,incongruent,V,correct,520
SIM-005,33,female,PITCH,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,385
SIM-005,33,female,PITCH,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,573
SIM-005,33,female,PITCH,Baseline,Baseline_2,6,Indole,745,incongruent,V,correct,515
SIM-005,33,female,PITCH,Baseline,Baseline_2,7,Indole,482,congruent,B,correct,532
SIM-005,33,female,PITCH,Baseline,Baseline_2,8,Indole,745,incongruent,V,correct,460
SIM-005,33,female,PITCH,Baseline,Baseline_2,9,Indole,482,congruent,B,correct,604
SIM-005,33,female,PITCH,Baseline,Baseline_2,10,Indole,745,incongruent,V,correct,559
SIM-005,33,female,PITCH,Baseline,Baseline_2,11,Indole,745,incongruent,V,correct,618
SIM-005,33,female,PITCH,Baseline,Baseline_2,12,Indole,482,congruent,B,correct,540
SIM-005,33,female,PITCH,Baseline,Baseline_1,1,PEA,745,congruent,V,correct,494
SIM-005,33,female,PITCH,Baseline,Baseline_1,2,PEA,482,incongruent,B,correct,533
SIM-005,33,female,PITCH,Baseline,Baseline_1,3,PEA,482,incongruent,B,correct,492
SIM-005,33,female,PITCH,Baseline,Baseline_1,4,PEA,745,congruent,V,correct,588
