=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
SIM-006,29,male,PITCH,Baseline,552,536,567,23,24,96
SIM-006,29,male,PITCH,Filtering,592,576,608,10,12,83
SIM-006,29,male,PITCH,Correlation,526,503,550,23,24,96

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
SIM-006,29,male,PITCH,Filtering,Filtering_1,592,576,608,10,12,83
SIM-006,29,male,PITCH,Correlation,Correlation_2,550,,550,11,12,92
SIM-006,29,male,PITCH,Correlation,Correlation_1,503,503,,12,12,100
SIM-006,29,male,PITCH,Baseline,Baseline_2,544,538,549,11,12,92
SIM-006,29,male,PITCH,Baseline,Baseline_1,559,534,584,12,12,100

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
SIM-006,29,male,PITCH,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,621
SIM-006,29,male,PITCH,Filtering,Filtering_1,2,PEA,482,incongruent,B,correct,661
SIM-006,29,male,PITCH,Filtering,Filtering_1,3,PEA,745,congruent,V,correct,507
SIM-006,29,male,PITCH,Filtering,Filtering_1,4,Indole,745,incongruent,V,correct,631
SIM-006,29,male,PITCH,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,561
SIM-006,29,male,PITCH,Filtering,Filtering_1,6,Indole,482,congruent,B,correct,585
SIM-006,29,male,PITCH,Filtering,Filtering_1,7,PEA,482,incongruent,B,correct,578
SIM-006,29,male,PITCH,Filtering,Filtering_1,8,PEA,745,congruent,B,incorrect,558
SIM-006,29,male,PITCH,Filtering,Filtering_1,9,PEA,745,congruent,V,correct,635
SIM-006,29,male,PITCH,Filtering,Filtering_1,10,PEA,482,incongruent,V,incorrect,678
SIM-006,29,male,PITCH,Filtering,Filtering_1,11,Indole,745,incongruent,V,correct,611
SIM-006,29,male,PITCH,Filtering,Filtering_1,12,Indole,482,congruent,B,correct,532
SIM-006,29,male,PITCH,Correlation,Correlation_2,1,Indole,745,incongruent,V,correct,524
SIM-006,29,male,PITCH,Correlation,Correlation_2,2,PEA,482,incongruent,B,correct,551
SIM-006,29,male,PITCH,Correlation,Correlation_2,3,PEA,482,incongruent,V,incorrect,669
SIM-006,29,male,PITCH,Correlation,Correlation_2,4,Indole,745,incongruent,V,correct,585
SIM-006,29,male,PITCH,Correlation,Correlation_2,5,PEA,482,incongruent,B,correct,543
SIM-006,29,male,PITCH,Correlation,Correlation_2,6,Indole,745,incongruent,V,correct,557
SIM-006,29,male,PITCH,Correlation,Correlation_2,7,PEA,482,incongruent,B,correct,501
SIM-006,29,male,PITCH,Correlation,Correlation_2,8,Indole,745,incongruent,V,correct,553
SIM-006,29,male,PITCH,Correlation,Correlation_2,9,Indole,745,incongruent,V,correct,594
SIM-006,29,male,PITCH,Correlation,Correlation_2,10,PEA,482,incongruent,B,correct,513
SIM-006,29,male,PITCH,Correlation,Correlation_2,11,PEA,482,incongruent,B,correct,603
SIM-006,29,male,PITCH,Correlation,Correlation_2,12,Indole,745,incongruent,V,correct,530
SIM-006,29,male,PITCH,Correlation,Correlation_1,1,Indole,482,congruent,B,correct,472
SIM-006,29,male,PITCH,Correlation,Correlation_1,2,PEA,745,congruent,V,correct,444
SIM-006,29,male,PITCH,Correlation,Correlation_1,3,PEA,745,congruent,V,correct,508
SIM-006,29,male,PITCH,Correlation,Correlation_1,4,Indole,482,congruent,B,correct,407
SIM-006,29,male,PITCH,Correlation,Correlation_1,5,Indole,482,congruent,B,correct,423
SIM-006,29,male,PITCH,Correlation,Correlation_1,6,PEA,745,congruent,V,correct,476
SIM-006,29,male,PITCH,Correlation,Correlation_1,7,Indole,482,congruent,B,correct,511
SIM-006,29,male,PITCH,Correlation,Correlation_1,8,PEA,745,congruent,V,correct,629
SIM-006,29,male,PITCH,Correlation,Correlation_1,9,PEA,745,congruent,V,correct,549
SIM-006,29,male,PITCH,Correlation,Correlation_1,10,Indole,482,congruent,B,correct,586
SIM-006,29,male,PITCH,Correlation,Correlation_1,11,PEA,745,congruent,V,correct,516
SIM-006,29,male,PITCH,Correlation,Correlation_1,12,Indole,482,congruent,B,correct,519
SIM-006,29,male,PITCH,Baseline,Baseline_2,1,Indole,745,incongruent,V,correct,581
SIM-006,29,male,PITCH,Baseline,Baseline_2,2,Indole,482,congruent,B,correct,558
SIM-006,29,male,PITCH,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,500
SIM-006,29,male,PITCH,Baseline,Baseline_2,4,Indole,745,incongruent,V,correct,630
SIM-006,29,male,PITCH,Baseline,Baseline_2,5,Indole,745,incongruent,V,correct,473
SIM-006,29,male,PITCH,Baseline,Baseline_2,6,Indole,482,congruent,B,correct,533
SIM-006,29,male,PITCH,Baseline,Baseline_2,7,Indole,745,incongruent,V,correct,548
SIM-006,29,male,PITCH,Baseline,Baseline_2,8,Indole,482,congruent,B,correct,560
SIM-006,29,male,PITCH,Baseline,Baseline_2,9,Indole,745,incongruent,V,correct,579
SIM-006,29,male,PITCH,Baseline,Baseline_2,10,Indole,482,congruent,V,incorrect,623
SIM-006,29,male,PITCH,Baseline,Baseline_2,11,Indole,745,incongruent,V,correct,484
SIM-006,29,male,PITCH,Baseline,Baseline_2,12,Indole,482,congruent,B,correct,538
SIM-006,29,male,PITCH,Baseline,Baseline_1,1,PEA,745,congruent,V,correct,502
SIM-006,29,male,PITCH,Baseline,Baseline_1,2,PEA,482,incongruent,B,correct,616
SIM-006,29,male,PITCH,Baseline,Baseline_1,3,PEA,482,incongruent,B,correct,565
SIM-006,29,male,PITCH,Baseline,Baseline_1,4,PEA,745,congruent,V,correct,619
SIM-006,29,male,PITCH,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,535
SIM-006,29,male,PITCH,Baseline,Baseline_1,6,PEA,482,incongruent,B,correct,537
SIM-006,29,male,PITCH,Baseline,Baseline_1,7,PEA,482,incongruent,B,correct,639
SIM-006,29,male,PITCH,Baseline,Baseline_1,8,PEA,745,congruent,V,correct,535
SIM-006,29,male,PITCH,Baseline,Baseline_1,9,PEA,745,congruent,V,correct,517
SIM-006,29,male,PITCH,Baseline,Baseline_1,10,PEA,482,incongruent,B,correct,535
SIM-006,29,male,PITCH,Baseline,Baseline_1,11,PEA,482,incongruent,B,correct,612
